studid,sname,sloc,sstrm,syop,sdp,ssp,ssec,gender
1,"Sneha Reddy",Delhi,"Computer Science",2024,81,90,67,f
2,"Priya Gupta",Ahmedabad,"Computer Science",2023,75,93,66,f
3,"Meera Iyer",Indore,"Mechanical Engineering",2023,80,86,89,f
4,"Tanya Jain",Lucknow,"Mechanical Engineering",2024,87,79,84,f
5,"Sneha Reddy",Hyderabad,"Electronics Engineering",2023,69,94,89,f
6,"Arjun Singh",Indore,"Electronics Engineering",2023,72,73,82,m
7,"Arjun Singh",Mumbai,"IT Engineering",2024,64,79,77,m
8,"Tanya Jain",Bangalore,"Electronics Engineering",2024,73,70,82,f
9,"Karan Verma",Mumbai,"IT Engineering",2025,80,93,65,m
10,"Sneha Reddy",Jaipur,"Electrical Engineering",2024,63,75,79,f
11,"Tanya Jain",Chennai,"Mechanical Engineering",2023,71,88,73,f
12,"Meera Iyer",Bangalore,"Mechanical Engineering",2023,69,82,79,f
13,"Rahul Mehta",Hyderabad,"Civil Engineering",2023,87,81,88,m
14,"Tanya Jain",Bangalore,"Electronics Engineering",2023,76,88,84,f
15,"Rahul Mehta",Delhi,"Information Tech",2023,78,87,83,m
16,"Rahul Mehta",Bangalore,"Mechanical Engineering",2023,90,88,87,m
17,"Vishal Dubey",Bangalore,"Computer Science",2025,62,82,73,m
18,"Sneha Reddy",Ahmedabad,"Information Tech",2025,60,74,67,f
19,"Meera Iyer",Ahmedabad,"Electronics Engineering",2023,71,81,71,f
20,"Vishal Dubey",Lucknow,"Information Tech",2024,68,88,68,m
21,"Meera Iyer",Delhi,"IT Engineering",2024,61,92,83,f
22,"Priya Gupta",Delhi,"Electronics Engineering",2023,75,73,86,f
23,"Rahul Mehta",Chennai,"Computer Science",2024,74,80,88,m
24,"Tanya Jain",Lucknow,"Computer Science",2025,80,74,70,f
25,"Sneha Reddy",Hyderabad,"Computer Science",2023,78,88,85,f
26,"Karan Verma",Pune,"Information Tech",2024,82,89,73,m
27,"Rahul Mehta",Pune,"Electrical Engineering",2025,89,78,78,m
28,"Vishal Dubey",Ahmedabad,"Electronics Engineering",2025,73,80,88,m
29,"Vishal Dubey",Delhi,"Electrical Engineering",2024,64,89,83,m
30,"Arjun Singh",Bangalore,"Civil Engineering",2024,78,88,69,m
