studid,sname,sloc,sstrm,syop,sdp,ssp,ssec,gender,performance
1,"Sneha Reddy",Delhi,"Computer Science",2024,81,90,67,f,A
2,"Priya Gupta",Ahmedabad,"Computer Science",2023,75,93,66,f,A
6,"Arjun Singh",Indore,"Electronics Engineering",2023,72,73,82,m,A
7,"Arjun Singh",Mumbai,"IT Engineering",2024,64,79,77,m,A
8,"Tanya Jain",Bangalore,"Electronics Engineering",2024,73,70,82,f,A
9,"Karan Verma",Mumbai,"IT Engineering",2025,80,93,65,m,A
10,"Sneha Reddy",Jaipur,"Electrical Engineering",2024,63,75,79,f,A
11,"Tanya Jain",Chennai,"Mechanical Engineering",2023,71,88,73,f,A
12,"Meera Iyer",Bangalore,"Mechanical Engineering",2023,69,82,79,f,A
17,"Vishal Dubey",Bangalore,"Computer Science",2025,62,82,73,m,A
18,"Sneha Reddy",Ahmedabad,"Information Tech",2025,60,74,67,f,A
19,"Meera Iyer",Ahmedabad,"Electronics Engineering",2023,71,81,71,f,A
20,"Vishal Dubey",Lucknow,"Information Tech",2024,68,88,68,m,A
21,"Meera Iyer",Delhi,"IT Engineering",2024,61,92,83,f,A
22,"Priya Gupta",Delhi,"Electronics Engineering",2023,75,73,86,f,A
24,"Tanya Jain",Lucknow,"Computer Science",2025,80,74,70,f,A
29,"Vishal Dubey",Delhi,"Electrical Engineering",2024,64,89,83,m,A
30,"Arjun Singh",Bangalore,"Civil Engineering",2024,78,88,69,m,A
32,"Arjun Singh",Hyderabad,"Electronics Engineering",2025,64,82,77,m,A
33,"Meera Iyer",Mumbai,"Electronics Engineering",2023,81,74,74,f,A
36,"Sneha Reddy",Jaipur,"Mechanical Engineering",2024,77,70,88,f,A
38,"Sneha Reddy",Jaipur,"Mechanical Engineering",2025,75,81,75,f,A
39,"Sneha Reddy",Mumbai,"Electronics Engineering",2024,76,83,66,f,A
40,"Rahul Mehta",Jaipur,"Mechanical Engineering",2025,66,94,74,m,A
41,"Sneha Reddy",Delhi,"Information Tech",2023,81,79,77,f,A
44,"Sneha Reddy",Jaipur,"IT Engineering",2023,74,76,68,f,A
45,"Arjun Singh",Lucknow,"Electrical Engineering",2023,82,70,72,m,A
46,"Priya Gupta",Bangalore,"Mechanical Engineering",2023,61,84,67,f,A
48,"Arjun Singh",Delhi,"Mechanical Engineering",2023,72,81,78,m,A
50,"Sneha Reddy",Indore,"IT Engineering",2024,62,90,72,f,A
51,"Ravi Patel",Hyderabad,"Computer Science",2025,76,77,81,m,A
54,"Arjun Singh",Delhi,"Computer Science",2024,60,88,68,m,A
55,"Arjun Singh",Pune,"Information Tech",2025,85,72,70,m,A
57,"Ananya Sharma",Bangalore,"Electrical Engineering",2024,84,75,65,f,A
59,"Meera Iyer",Chennai,"Mechanical Engineering",2024,65,79,78,f,A
60,"Rahul Mehta",Pune,"Computer Science",2023,89,75,73,m,A
61,"Karan Verma",Delhi,"Information Tech",2023,73,92,71,m,A
67,"Karan Verma",Pune,"Computer Science",2023,74,72,89,m,A
68,"Priya Gupta",Jaipur,"Civil Engineering",2024,62,83,85,f,A
70,"Priya Gupta",Bangalore,"Computer Science",2024,84,74,74,f,A
71,"Rahul Mehta",Delhi,"Civil Engineering",2025,60,87,81,m,A
72,"Ravi Patel",Chennai,"Mechanical Engineering",2025,68,71,67,m,A
73,"Priya Gupta",Jaipur,"Information Tech",2024,84,81,67,f,A
74,"Karan Verma",Bangalore,"Mechanical Engineering",2024,67,77,75,m,A
75,"Arjun Singh",Bangalore,"Mechanical Engineering",2023,70,70,82,m,A
78,"Sneha Reddy",Lucknow,"Electrical Engineering",2025,72,72,81,f,A
80,"Karan Verma",Lucknow,"Civil Engineering",2025,65,92,79,m,A
82,"Ravi Patel",Hyderabad,"Civil Engineering",2023,83,73,81,m,A
83,"Priya Gupta",Bangalore,"IT Engineering",2023,79,83,69,f,A
84,"Vishal Dubey",Ahmedabad,"Electrical Engineering",2024,65,80,89,m,A
85,"Ananya Sharma",Delhi,"Electrical Engineering",2025,70,80,68,f,A
86,"Ananya Sharma",Chennai,"Electronics Engineering",2023,68,72,67,f,A
88,"Priya Gupta",Hyderabad,"Mechanical Engineering",2025,86,74,65,f,A
89,"Karan Verma",Ahmedabad,"Computer Science",2023,77,77,78,m,A
90,"Sneha Reddy",Delhi,"Mechanical Engineering",2025,73,82,83,f,A
91,"Tanya Jain",Jaipur,"Mechanical Engineering",2023,77,74,77,f,A
92,"Rahul Mehta",Mumbai,"Mechanical Engineering",2023,73,94,66,m,A
94,"Sneha Reddy",Hyderabad,"IT Engineering",2023,68,74,85,f,A
101,"Sneha Reddy",Hyderabad,"Electronics Engineering",2024,64,91,83,f,A
102,"Meera Iyer",Ahmedabad,"Information Tech",2023,83,70,67,f,A
104,"Sneha Reddy",Chennai,"Electrical Engineering",2025,66,91,68,f,A
107,"Sneha Reddy",Pune,"Computer Science",2025,76,73,75,f,A
108,"Tanya Jain",Jaipur,"Civil Engineering",2024,74,75,90,f,A
109,"Karan Verma",Delhi,"Electronics Engineering",2025,61,92,84,m,A
110,"Rahul Mehta",Jaipur,"Mechanical Engineering",2024,88,80,71,m,A
111,"Tanya Jain",Mumbai,"Civil Engineering",2024,66,72,69,f,A
112,"Tanya Jain",Pune,"IT Engineering",2025,83,87,66,f,A
113,"Arjun Singh",Bangalore,"IT Engineering",2025,76,71,83,m,A
114,"Karan Verma",Chennai,"Computer Science",2025,65,70,68,m,A
116,"Karan Verma",Lucknow,"Information Tech",2025,72,90,73,m,A
117,"Vishal Dubey",Bangalore,"Information Tech",2024,65,88,68,m,A
118,"Meera Iyer",Indore,"Computer Science",2023,65,72,65,f,A
119,"Karan Verma",Pune,"Electronics Engineering",2023,76,86,70,m,A
123,"Vishal Dubey",Hyderabad,"Mechanical Engineering",2024,63,88,86,m,A
124,"Vishal Dubey",Ahmedabad,"Computer Science",2024,82,73,74,m,A
125,"Sneha Reddy",Mumbai,"Electronics Engineering",2024,78,84,72,f,A
126,"Rahul Mehta",Ahmedabad,"Electrical Engineering",2024,68,72,68,m,A
129,"Sneha Reddy",Hyderabad,"Computer Science",2025,66,82,85,f,A
130,"Ananya Sharma",Ahmedabad,"Information Tech",2025,63,75,70,f,A
131,"Ananya Sharma",Mumbai,"Civil Engineering",2025,71,78,79,f,A
132,"Tanya Jain",Jaipur,"Information Tech",2025,82,82,71,f,A
134,"Vishal Dubey",Ahmedabad,"IT Engineering",2024,64,82,74,m,A
135,"Priya Gupta",Ahmedabad,"Mechanical Engineering",2024,88,74,76,f,A
